iter	RMSE
0	8.141971909
1	8.020444486
2	7.906583956
3	7.736465236
4	7.68253366
5	7.61106426
6	7.543269115
7	7.5025073
8	7.446579655
9	7.353839754
10	7.333085185
11	7.263252909
12	7.248509298
13	7.096487344
14	7.041067425
15	6.993011186
16	6.95490323
17	6.932418166
18	6.912741016
19	6.866618092
20	6.853503397
21	6.835842249
22	6.801618517
23	6.779220379
24	6.7113887
25	6.692627913
26	6.663005698
27	6.644078568
28	6.622648192
29	6.581993629
30	6.563617212
31	6.549719925
32	6.539683465
33	6.520021094
34	6.512261167
35	6.495771176
36	6.483061887
37	6.458299369
38	6.450689199
39	6.438284301
40	6.423529886
41	6.391393653
42	6.377917287
43	6.363552501
44	6.353175694
45	6.349085527
46	6.337546527
47	6.326988337
48	6.324186655
49	6.286972335
50	6.262627041
51	6.255552923
52	6.237311429
53	6.224862901
54	6.21780428
55	6.214327928
56	6.138122609
57	6.125159865
58	6.118499214
59	6.09932308
60	6.089788608
61	6.081322687
62	6.067638613
63	6.063468971
64	6.048467589
65	5.978628054
66	5.905015264
67	5.900229097
68	5.871044812
69	5.855373752
70	5.840158718
71	5.820790589
72	5.796458667
73	5.780540755
74	5.775918497
75	5.767975823
76	5.758072731
77	5.754017493
78	5.74846972
79	5.743109934
80	5.737406964
81	5.726147896
82	5.715375796
83	5.712705838
84	5.70754154
85	5.682476199
86	5.675490306
87	5.670551853
88	5.664823686
89	5.655392804
90	5.648632901
91	5.636008266
92	5.63033625
93	5.627535577
94	5.595039908
95	5.592436734
96	5.564721779
97	5.557742681
98	5.545385816
99	5.539778729
100	5.53650573
101	5.53081599
102	5.527402606
103	5.520065822
104	5.513240866
105	5.509814336
106	5.506111718
107	5.494828362
108	5.491828312
109	5.457261198
110	5.45482921
111	5.441587642
112	5.428967301
113	5.426533921
114	5.420383445
115	5.415574424
116	5.412670799
117	5.405342416
118	5.401182871
119	5.388998706
120	5.380603088
121	5.378261218
122	5.372108014
123	5.367432361
124	5.361532915
125	5.352860835
126	5.34707381
127	5.343652278
128	5.342047808
129	5.340294707
130	5.323076939
131	5.316321758
132	5.309092723
133	5.307413131
134	5.303339579
135	5.298520157
136	5.294649391
137	5.290901024
138	5.287933478
139	5.281920119
140	5.276522335
141	5.27502139
142	5.272509966
143	5.240618936
144	5.237134144
145	5.23394258
146	5.229655742
147	5.226333693
148	5.217383309
149	5.2115417
150	5.176620434
151	5.170548222
152	5.159664872
153	5.156534201
154	5.153407838
155	5.149868633
156	5.14743368
157	5.142748563
158	5.137661377
159	5.132848739
160	5.127429761
161	5.122870845
162	5.120010703
163	5.110624184
164	5.090675418
165	5.086925662
166	5.080309564
167	5.07596767
168	5.072306202
169	5.068792476
170	5.066405198
171	5.064449699
172	5.061367776
173	5.057754618
174	5.054711035
175	5.051892108
176	5.044421699
177	5.042191323
178	5.039947966
179	5.036794749
180	5.027953397
181	5.024049889
182	5.021273726
183	5.007883166
184	5.002363759
185	4.996922147
186	4.99188229
187	4.989406538
188	4.988192328
189	4.977597244
190	4.972393188
191	4.970637775
192	4.968124703
193	4.965890597
194	4.962700126
195	4.944586627
196	4.94061845
197	4.938899067
198	4.93202436
199	4.930233518
200	4.926688875
201	4.924362967
202	4.922471406
203	4.92080754
204	4.91871324
205	4.914007233
206	4.91306113
207	4.910321331
208	4.906760436
209	4.903019334
210	4.901053367
211	4.895471157
212	4.894157007
213	4.89098891
214	4.885051724
215	4.880393166
216	4.878694572
217	4.875714184
218	4.872880412
219	4.869935926
220	4.867186126
221	4.865209557
222	4.863444061
223	4.859019097
224	4.854975315
225	4.853291897
226	4.852481231
227	4.850272562
228	4.846214668
229	4.842847688
230	4.840943023
231	4.838667369
232	4.837420442
233	4.836215283
234	4.83487781
235	4.832797929
236	4.83156383
237	4.830092064
238	4.828766547
239	4.825256904
240	4.823832438
241	4.82068791
242	4.816817857
243	4.814372028
244	4.811338314
245	4.808487369
246	4.807178066
247	4.805460259
248	4.804199007
249	4.798235549
250	4.785451373
251	4.781193952
252	4.779914276
253	4.777514723
254	4.774653838
255	4.77316199
256	4.770793828
257	4.769393641
258	4.768162606
259	4.765520418
260	4.757476323
261	4.754225005
262	4.752714816
263	4.750074379
264	4.748337121
265	4.746499439
266	4.744729672
267	4.743042823
268	4.741247835
269	4.740084462
270	4.733173019
271	4.731579825
272	4.725592616
273	4.724764027
274	4.721166689
275	4.719987064
276	4.71929522
277	4.716867798
278	4.715806511
279	4.713950532
280	4.709792373
281	4.70850296
282	4.705897221
283	4.701645083
284	4.695500489
285	4.693584208
286	4.691978559
287	4.684969124
288	4.682772874
289	4.682175014
290	4.681041472
291	4.679546969
292	4.677861355
293	4.676665289
294	4.673775909
295	4.670544479
296	4.665196246
297	4.663354188
298	4.657837392
299	4.656847828
300	4.653510918
301	4.651787741
302	4.648680183
303	4.64671304
304	4.645356459
305	4.643708553
306	4.637341516
307	4.636504285
308	4.635633394
309	4.633504086
310	4.631910857
311	4.629966581
312	4.629131827
313	4.626849473
314	4.625151452
315	4.62285005
316	4.621642809
317	4.619190249
318	4.617364856
319	4.615743888
320	4.612917085
321	4.610397248
322	4.608991927
323	4.606795328
324	4.604302409
325	4.542031814
326	4.539637278
327	4.533206867
328	4.530278402
329	4.529320077
330	4.527413171
331	4.526165881
332	4.524776446
333	4.523278794
334	4.522355714
335	4.521216917
336	4.519000396
337	4.517170858
338	4.515221627
339	4.513135862
340	4.511849159
341	4.510401974
342	4.507907006
343	4.506972643
344	4.501276975
345	4.500370788
346	4.49862594
347	4.49661581
348	4.491607324
349	4.487478781
350	4.479645521
351	4.477713435
352	4.47509485
353	4.474100097
354	4.472037226
355	4.470496052
356	4.469012056
357	4.468349569
358	4.465718125
359	4.464032426
360	4.462798083
361	4.460712823
362	4.459377272
363	4.458399297
364	4.456580823
365	4.454611636
366	4.452735613
367	4.451652159
368	4.450763761
369	4.449766777
370	4.447752178
371	4.446318401
372	4.444024286
373	4.442440161
374	4.440480805
375	4.438997983
376	4.436514306
377	4.4358762
378	4.433327347
379	4.431895403
380	4.430410988
381	4.427308987
382	4.425580614
383	4.419517381
384	4.417258222
385	4.415874527
386	4.414958943
387	4.414414833
388	4.413245779
389	4.411388621
390	4.409280269
391	4.407956512
392	4.40641791
393	4.405255794
394	4.404487813
395	4.403772592
396	4.40186156
397	4.400942225
398	4.400486649
399	4.397487593
400	4.395950844
401	4.395168007
402	4.393696078
403	4.392007381
404	4.365483483
405	4.364353281
406	4.362634246
407	4.361246728
408	4.360052542
409	4.358509365
410	4.356603785
411	4.355404056
412	4.353297013
413	4.351562965
414	4.34979105
415	4.339081977
416	4.336844922
417	4.330290877
418	4.329279178
419	4.327725592
420	4.325608874
421	4.324161739
422	4.322434702
423	4.320705879
424	4.315269055
425	4.313889568
426	4.31218409
427	4.303067365
428	4.301777848
429	4.300062676
430	4.298939858
431	4.294451942
432	4.293140096
433	4.291407764
434	4.289439768
435	4.288234947
436	4.286631353
437	4.285817507
438	4.281171714
439	4.279821541
440	4.277607817
441	4.276168982
442	4.274806728
443	4.272795825
444	4.269553588
445	4.26821547
446	4.267210071
447	4.265927793
448	4.264551931
449	4.262973865
450	4.261819989
451	4.260493707
452	4.258874242
453	4.257434189
454	4.256076422
455	4.253373575
456	4.251339141
457	4.250227737
458	4.183657159
459	4.182756306
460	4.178862605
461	4.177867903
462	4.175518407
463	4.174132544
464	4.173002479
465	4.172298445
466	4.170417605
467	4.169619821
468	4.168304107
469	4.164347293
470	4.163342573
471	4.16232482
472	4.159671946
473	4.158596551
474	4.157440966
475	4.156101193
476	4.153607825
477	4.152582123
478	4.151617942
479	4.150174915
480	4.145845211
481	4.145312358
482	4.144465344
483	4.143508665
484	4.14215227
485	4.141275472
486	4.140012227
487	4.138752251
488	4.137769616
489	4.13670258
490	4.135019652
491	4.133555682
492	4.132786051
493	4.131784353
494	4.127295667
495	4.126362682
496	4.124082991
497	4.123087025
498	4.121623069
499	4.120875055
500	4.099399794
501	4.097995334
502	4.097423643
503	4.095604849
504	4.093225731
505	4.092724938
506	4.091469638
507	4.090379055
508	4.088017323
509	4.087267837
510	4.084949218
511	4.082956073
512	4.082177022
513	4.081482262
514	4.080871228
515	4.080119069
516	4.054355579
517	4.052367755
518	4.050828538
519	4.049381244
520	4.048381345
521	4.047737432
522	4.046365278
523	4.045159502
524	4.044545407
525	4.043164431
526	4.042088829
527	4.041037693
528	4.038009462
529	4.037200576
530	4.036550639
531	4.033495918
532	4.031146824
533	4.030159719
534	4.028707905
535	4.026612629
536	4.024552333
537	4.02272228
538	4.02061994
539	4.018700301
540	3.982526026
541	3.981677323
542	3.97984384
543	3.978332561
544	3.97595775
545	3.974774484
546	3.974202682
547	3.973393765
548	3.971079955
549	3.970112632
550	3.969519746
551	3.96776875
552	3.966919204
553	3.966451591
554	3.964408978
555	3.963655438
556	3.962029375
557	3.960971712
558	3.959866903
559	3.95784267
560	3.956661175
561	3.955428458
562	3.954703756
563	3.953737296
564	3.952245399
565	3.951642662
566	3.950989323
567	3.949921281
568	3.948242971
569	3.947151635
570	3.946056298
571	3.945481719
572	3.944142628
573	3.943458312
574	3.94198895
575	3.941296952
576	3.940543906
577	3.939809779
578	3.938515635
579	3.937552135
580	3.936489934
581	3.935578122
582	3.934406284
583	3.933076162
584	3.931706048
585	3.930884838
586	3.929981025
587	3.929155715
588	3.927662474
589	3.926447073
590	3.924972738
591	3.923804443
592	3.921091746
593	3.920419022
594	3.919720277
595	3.918827058
596	3.918374811
597	3.917290051
598	3.914644736
599	3.912923173
600	3.911721901
601	3.910224211
602	3.909687264
603	3.904988105
604	3.903059583
605	3.902474091
606	3.901415494
607	3.900676929
608	3.89970472
609	3.899344003
610	3.89062979
611	3.888057187
612	3.887110531
613	3.885629436
614	3.884584463
615	3.883881841
616	3.883163125
617	3.880887966
618	3.854590403
619	3.853785444
620	3.853328834
621	3.852564208
622	3.851923998
623	3.850980185
624	3.85055856
625	3.849255968
626	3.848349554
627	3.84735247
628	3.846219014
629	3.84470733
630	3.842838985
631	3.841536372
632	3.84052922
633	3.83943827
634	3.838654209
635	3.837785581
636	3.836942467
637	3.834238347
638	3.833500615
639	3.83263124
640	3.83180181
641	3.83114572
642	3.829729369
643	3.828640235
644	3.828117809
645	3.827074313
646	3.826029759
647	3.825026387
648	3.824241657
649	3.823073685
650	3.822123172
651	3.821239342
652	3.820358022
653	3.819082972
654	3.818281804
655	3.816259234
656	3.815295606
657	3.813094817
658	3.812489857
659	3.811855991
660	3.811209206
661	3.810582928
662	3.809606665
663	3.808235255
664	3.807492347
665	3.806802753
666	3.806019799
667	3.805152555
668	3.803955427
669	3.802901973
670	3.802109757
671	3.799394117
672	3.798426814
673	3.797763953
674	3.796477915
675	3.795665978
676	3.794833485
677	3.793411881
678	3.79267072
679	3.791994231
680	3.791284756
681	3.784772059
682	3.784171877
683	3.783757064
684	3.782412787
685	3.781368975
686	3.780913074
687	3.779192167
688	3.77844502
689	3.777510392
690	3.776705751
691	3.77602728
692	3.773299085
693	3.772679334
694	3.771385804
695	3.77083675
696	3.769904996
697	3.769302949
698	3.768594518
699	3.768086627
700	3.766589603
701	3.765876069
702	3.7654128
703	3.764873242
704	3.764209764
705	3.76332706
706	3.76157511
707	3.760806036
708	3.759705083
709	3.759238852
710	3.75883628
711	3.757564096
712	3.756957386
713	3.755503698
714	3.750181873
715	3.749380118
716	3.748655926
717	3.748037875
718	3.7476532
719	3.746916333
720	3.746242485
721	3.745362492
722	3.744429534
723	3.743438496
724	3.742167341
725	3.740615957
726	3.739989994
727	3.739220686
728	3.737449851
729	3.736877596
730	3.735381968
731	3.734841614
732	3.734335944
733	3.727244442
734	3.726235651
735	3.72542552
736	3.724982182
737	3.705694743
738	3.705283146
739	3.70443029
740	3.7029616
741	3.702042263
742	3.70142504
743	3.700955819
744	3.699360442
745	3.697443666
746	3.695508884
747	3.693960689
748	3.693510731
749	3.692755227
750	3.69225983
751	3.690972952
752	3.690668615
753	3.688529907
754	3.688110516
755	3.687463037
756	3.686849597
757	3.682028882
758	3.681072728
759	3.679856692
760	3.678351011
761	3.677883953
762	3.676997882
763	3.675819801
764	3.675047371
765	3.673803904
766	3.671473591
767	3.670726012
768	3.669898045
769	3.667211711
770	3.666303159
771	3.665025329
772	3.664004784
773	3.663508837
774	3.657184537
775	3.655981507
776	3.654801925
777	3.653387706
778	3.652810723
779	3.652319609
780	3.65172399
781	3.651344214
782	3.650902239
783	3.65015578
784	3.649243468
785	3.648467994
786	3.647753834
787	3.647320924
788	3.647065198
789	3.645580324
790	3.64499005
791	3.644192779
792	3.643459983
793	3.642152043
794	3.641382922
795	3.639734527
796	3.638681348
797	3.638200038
798	3.637473389
799	3.636627006
800	3.636176292
801	3.63585303
802	3.634823126
803	3.634104309
804	3.633592815
805	3.631855442
806	3.631311212
807	3.630521591
808	3.62997829
809	3.629098042
810	3.627276955
811	3.626100586
812	3.62531021
813	3.624583837
814	3.623523877
815	3.622653092
816	3.621328683
817	3.620897394
818	3.618611771
819	3.617935479
820	3.617461908
821	3.616998353
822	3.616298727
823	3.61602933
824	3.615208093
825	3.614798597
826	3.614501461
827	3.61408643
828	3.613880911
829	3.613316913
830	3.612432618
831	3.611075193
832	3.610642648
833	3.610284205
834	3.609349397
835	3.606641438
836	3.605583508
837	3.605186406
838	3.604772272
839	3.604128086
840	3.603407478
841	3.603125826
842	3.602549387
843	3.601955275
844	3.601480239
845	3.60100946
846	3.600547846
847	3.599759051
848	3.599210894
849	3.598616117
850	3.597974078
851	3.595535728
852	3.594448168
853	3.594033259
854	3.593669804
855	3.593064239
856	3.591364862
857	3.5908688
858	3.590063402
859	3.58935696
860	3.588511172
861	3.587984828
862	3.587418506
863	3.585760504
864	3.585209488
865	3.584215204
866	3.583064859
867	3.581524563
868	3.580793205
869	3.58032061
870	3.579623049
871	3.57907763
872	3.578491557
873	3.577505557
874	3.577071429
875	3.576622035
876	3.576144649
877	3.575884011
878	3.57548599
879	3.574941839
880	3.57442846
881	3.573894475
882	3.57263165
883	3.572165404
884	3.570799749
885	3.56996156
886	3.56934985
887	3.568585212
888	3.56827032
889	3.567669427
890	3.566108232
891	3.565660467
892	3.565000738
893	3.563982699
894	3.56244534
895	3.562080269
896	3.561207843
897	3.560281393
898	3.559643554
899	3.558553492
900	3.557901448
901	3.557549387
902	3.557182508
903	3.556416411
904	3.555504292
905	3.554668476
906	3.55371301
907	3.552858123
908	3.552595271
909	3.551780551
910	3.551268121
911	3.55053042
912	3.549118794
913	3.54827888
914	3.546495996
915	3.546079694
916	3.545521904
917	3.544780972
918	3.544032759
919	3.543799458
920	3.543402828
921	3.542979187
922	3.54231954
923	3.541820955
924	3.540997729
925	3.540670932
926	3.540092797
927	3.539035849
928	3.538641388
929	3.537654217
930	3.53733258
931	3.536769702
932	3.536325093
933	3.535089772
934	3.534586258
935	3.533905387
936	3.533283052
937	3.533021088
938	3.518674715
939	3.517749164
940	3.516863143
941	3.516537593
942	3.515923005
943	3.515575136
944	3.515159543
945	3.514673433
946	3.513705673
947	3.512891214
948	3.51215886
949	3.51120345
950	3.510692864
951	3.509134532
952	3.508649811
953	3.503738877
954	3.502606716
955	3.502058149
956	3.501751407
957	3.500578292
958	3.500331836
959	3.499921791
960	3.499635088
961	3.499192762
962	3.49893022
963	3.498472747
964	3.498048498
965	3.497437477
966	3.497104862
967	3.496518902
968	3.49616068
969	3.49522113
970	3.494209405
971	3.487028132
972	3.486492307
973	3.486136177
974	3.485331057
975	3.484941288
976	3.484464414
977	3.483752521
978	3.483377818
979	3.482540621
980	3.482100508
981	3.481779957
982	3.479605656
983	3.47879966
984	3.478330161
985	3.477583501
986	3.477109908
987	3.476804434
988	3.475858296
989	3.474920909
990	3.47424677
991	3.473923953
992	3.473374091
993	3.472954036
