iter	Passed	Remaining
0	446	446089
1	666	332754
2	881	292920
3	1161	289199
4	1419	282480
5	1675	277611
6	1870	265280
7	2117	262553
8	2370	260992
9	2595	256936
10	2841	255495
11	3071	252878
12	3250	246767
13	3535	249023
14	3785	248606
15	3966	243970
16	4145	239729
17	4329	236211
18	4553	235089
19	4778	234137
20	4941	230380
21	5179	230267
22	5400	229415
23	5592	227423
24	5864	228710
25	6029	225891
26	6276	226175
27	6551	227446
28	6834	228831
29	7076	228803
30	7285	227735
31	7524	227624
32	7700	225645
33	7963	226262
34	8138	224386
35	8307	222446
36	8541	222315
37	8839	223791
38	9021	222301
39	9267	222409
40	9519	222661
41	9751	222417
42	9989	222315
43	10215	221957
44	10396	220629
45	10580	219437
46	10771	218409
47	10947	217119
48	11155	216501
49	11423	217037
50	11717	218033
51	11952	217902
52	12217	218308
53	12392	217104
54	12619	216820
55	12799	215765
56	13067	216179
57	13348	216803
58	13574	216504
59	13824	216587
60	14013	215717
61	14189	214671
62	14428	214595
63	14629	213950
64	14889	214182
65	15262	215986
66	15579	216943
67	15956	218698
68	16582	223746
69	16994	225784
70	17264	225896
71	17579	226578
72	18104	229898
73	18486	231334
74	19019	234573
75	19440	236355
76	19630	235308
77	19940	235701
78	20167	235115
79	20467	235374
80	20727	235162
81	21025	235381
82	21266	234959
83	21583	235365
84	21974	236552
85	22314	237155
86	22492	236040
87	22650	234738
88	22861	234012
89	23119	233764
90	23404	233791
91	23740	234308
92	24275	236753
93	24731	238371
94	25318	241193
95	25524	240359
96	25825	240413
97	26163	240808
98	26451	240734
99	26608	239474
100	26779	238366
101	27009	237790
102	27225	237100
103	27430	236326
104	27647	235659
105	27809	234543
106	28043	234043
107	28262	233428
108	28475	232767
109	28727	232427
110	28934	231735
111	29153	231144
112	29413	230881
113	29613	230156
114	29844	229675
115	30056	229049
116	30296	228648
117	30575	228537
118	31188	230897
119	31599	231729
120	32297	234626
121	32927	236972
122	33493	238808
123	33784	238671
124	33990	237935
125	34245	237543
126	34458	236865
127	34691	236336
128	34911	235720
129	35168	235357
130	35437	235080
131	35714	234847
132	35910	234092
133	36118	233421
134	36342	232859
135	36579	232385
136	36821	231950
137	37019	231240
138	37197	230408
139	37416	229846
140	37670	229498
141	37871	228831
142	38196	228909
143	38435	228480
144	38672	228037
145	38907	227582
146	39111	226953
147	39319	226355
148	39521	225722
149	39712	225038
150	39979	224787
151	40201	224279
152	40462	223997
153	40761	223922
154	41083	223971
155	41369	223818
156	41604	223393
157	41913	223363
158	42353	224021
159	42731	224337
160	43108	224645
161	43396	224482
162	43765	224735
163	44159	225104
